trade_id,event_kind,source_pair_id,support_pair_ids,support_pair_count,support_pair_expectancy_mean,side,symbol,signal_dt,entry_dt,exit_dt,entry_ref_price,entry_fill_price,exit_ref_price,exit_fill_price,size,gross_price_pnl,entry_fee_allocated,exit_fee,spread_cost,slippage_cost,pnl,reason,latency_bars,partial_fill_ratio,rejected_entry_flag,friction_preset
18.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,DOGE/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-23 00:00:00,0.06364,0.063569996,0.063569996,0.06367170799359999,1169.2335224817882,-0.11892507255555486,0.0371640851736166,0.037223547709894375,0.04459690220833991,0.0743281703472332,-0.19331270543906584,stop_loss,0,1.0,False,baseline
20.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,short,DOGE/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-23 00:00:00,0.06364,0.063569996,0.063569996,0.06367170799359999,1169.2335224817882,-0.11892507255555486,0.0371640851736166,0.037223547709894375,0.04459690220833991,0.0743281703472332,-0.19331270543906584,stop_loss,0,1.0,False,baseline
22.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,AVAX/USDT,2023-10-16,2023-10-17 00:00:00,2023-10-23 00:00:00,9.4,9.39342,10.122176602589919,10.132298779192508,10.998457571867915,-8.126526903702356,0.05165656566236776,0.05571982911421894,0.04453133195941574,0.06679699793912361,-8.233903298478943,stop_loss,0,0.8233903298478944,False,baseline
23.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,ETH/USDT,2023-10-22,2023-10-22 04:00:00,2023-10-23 20:00:00,1629.74,1630.228922,1720.9532838475543,1720.4369978624002,0.07116015482129165,6.419220644499218,0.05800367124183369,0.0612132815640833,0.02449266042376045,0.012246330211880225,6.3000036916933,tp1_scale_out,0,1.0,False,baseline
23.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,ETH/USDT,2023-10-22,2023-10-22 04:00:00,2023-10-23 20:00:00,1629.74,1630.228922,1788.99655523322,1788.4598562666501,0.07116015482129165,11.259737779932445,0.05800367124183369,0.06363354013179992,0.025461054369030678,0.012730527184515339,11.138100568558812,tp2_final,0,1.0,False,baseline
24.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,XRP/USDT,2023-10-22,2023-10-24 00:00:00,,0.5475,0.5478832499999999,,,356.0893661570886,0.0,0.09754769961029285,0.0,0.0779835711884024,0.05848767839130179,-0.09754769961029285,entry_filled,1,1.0,False,baseline
24.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,XRP/USDT,2023-10-22,2023-10-24 00:00:00,2023-10-24 00:00:00,0.5475,0.5478832499999999,0.5839204150469732,0.5835116707564404,178.0446830785443,6.3434508821694715,0.04877384980514642,0.05194557524623116,0.04158557009605216,0.031189177572039112,6.2427314571180945,tp1_scale_out,1,1.0,False,baseline
24.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,XRP/USDT,2023-10-22,2023-10-24 00:00:00,2023-10-24 00:00:00,0.5475,0.5478832499999999,0.5478832499999999,0.5473353667499999,178.0446830785443,-0.09754769961029142,0.04877384980514642,0.04872507595534128,0.039019079844117135,0.0585286197661757,-0.19504662537077913,stop_loss,1,1.0,False,baseline
25.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,,10.6,10.60742,,,11.413914912748586,0.0,0.0605360946618938,0.0,0.048394999230054005,0.0362962494225405,-0.0605360946618938,entry_filled,0,1.0,False,baseline
26.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,,10.6,10.60742,,,11.413914912748586,0.0,0.0605360946618938,0.0,0.048394999230054005,0.0362962494225405,-0.0605360946618938,entry_filled,0,1.0,False,baseline
27.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,,10.6,10.60742,,,11.413914912748586,0.0,0.0605360946618938,0.0,0.048394999230054005,0.0362962494225405,-0.0605360946618938,entry_filled,0,1.0,False,baseline
28.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,,10.6,10.60742,,,11.413914912748586,0.0,0.0605360946618938,0.0,0.048394999230054005,0.0362962494225405,-0.0605360946618938,entry_filled,0,1.0,False,baseline
25.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-10-31 00:00:00,10.6,10.60742,11.749017217204441,11.7407929051524,5.706957456374293,6.468110951912087,0.0302680473309469,0.033502102806902946,0.026820456565117935,0.02011534242383845,6.404340801774238,tp1_scale_out,0,1.0,False,baseline
26.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-10-31 00:00:00,10.6,10.60742,11.749017217204441,11.7407929051524,5.706957456374293,6.468110951912087,0.0302680473309469,0.033502102806902946,0.026820456565117935,0.02011534242383845,6.404340801774238,tp1_scale_out,0,1.0,False,baseline
27.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-10-31 00:00:00,10.6,10.60742,11.749017217204441,11.7407929051524,5.706957456374293,6.468110951912087,0.0302680473309469,0.033502102806902946,0.026820456565117935,0.02011534242383845,6.404340801774238,tp1_scale_out,0,1.0,False,baseline
28.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-10-31 00:00:00,10.6,10.60742,11.749017217204441,11.7407929051524,5.706957456374293,6.468110951912087,0.0302680473309469,0.033502102806902946,0.026820456565117935,0.02011534242383845,6.404340801774238,tp1_scale_out,0,1.0,False,baseline
25.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-11-05 00:00:00,10.6,10.60742,12.605215130107771,12.596391479516697,5.706957456374293,11.350975615543627,0.0302680473309469,0.035943535138718716,0.028774970590388242,0.02158122794279118,11.28476403307396,tp2_final,0,1.0,False,baseline
26.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-11-05 00:00:00,10.6,10.60742,12.605215130107771,12.596391479516697,5.706957456374293,11.350975615543627,0.0302680473309469,0.035943535138718716,0.028774970590388242,0.02158122794279118,11.28476403307396,tp2_final,0,1.0,False,baseline
