backtrader_rank,symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
81,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,0.6878157888821932,12,0.5833333333333334,573.1798240684943
82,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,0.7402103937586273,13,0.6153846153846154,569.3926105835594
83,ETH/USDT,short,85,20,0.236,0.586,0.029,0.038,8,0.7385144322788233,13,0.6153846153846154,568.088024829864
84,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,0.7333934600601768,13,0.6153846153846154,564.1488154309052
85,ETH/USDT,short,90,20,0.236,0.586,0.029,0.038,8,0.7327221682232699,13,0.6153846153846154,563.632437094823
86,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,0.7867853826778696,14,0.7142857142857143,561.9895590556212
87,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,0.725647231182781,13,0.6153846153846154,558.1901778329085
88,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,0.7794396116401294,14,0.6428571428571429,556.7425797429496
89,ETH/USDT,short,80,20,0.236,0.586,0.029,0.038,8,0.72126777853398,13,0.6153846153846154,554.8213681030616
90,ETH/USDT,short,85,20,0.236,0.536,0.029,0.038,8,0.7197878010313964,13,0.6153846153846154,553.6829238703049
91,LINK/USDT,short,85,20,0.236,0.686,0.026,0.018,12,0.8679037885652795,12,0.4166666666666667,723.253157137733
92,LINK/USDT,short,90,20,0.236,0.686,0.026,0.018,12,0.730301344736679,12,0.4166666666666667,608.5844539472324
93,LINK/USDT,short,85,20,0.236,0.686,0.026,0.023,12,0.8469886166380622,14,0.4285714285714285,604.9918690271872
94,LINK/USDT,short,85,20,0.236,0.686,0.023,0.018,12,0.8461017911078781,14,0.3571428571428571,604.358422219913
95,LINK/USDT,short,80,20,0.236,0.686,0.026,0.018,12,0.7743912044332625,13,0.3846153846153846,595.6855418717404
96,LINK/USDT,short,85,20,0.236,0.686,0.026,0.028,12,0.8291844781167917,14,0.4285714285714285,592.2746272262799
97,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,0.6734352719836718,12,0.5833333333333334,561.1960599863932
98,LINK/USDT,short,85,20,0.236,0.736,0.026,0.018,12,0.7178444206126016,13,0.3846153846153846,552.1880158558473
99,LINK/USDT,short,65,20,0.236,0.636,0.055,0.048,8,0.660015773633047,12,0.5833333333333334,550.0131446942058
100,LINK/USDT,short,60,20,0.236,0.636,0.055,0.043,8,0.6385487064154948,12,0.5833333333333334,532.1239220129123
101,LINK/USDT,short,85,20,0.236,0.636,0.026,0.023,12,0.7413414831739839,14,0.4285714285714285,529.5296308385599
102,LINK/USDT,short,60,20,0.236,0.636,0.053,0.043,8,0.6301507262561061,12,0.5833333333333334,525.1256052134217
103,LINK/USDT,short,85,20,0.236,0.636,0.026,0.028,12,0.7235373446527134,14,0.4285714285714285,516.8123890376525
104,LINK/USDT,short,75,20,0.236,0.686,0.026,0.018,12,0.7211739602466739,14,0.3571428571428571,515.1242573190527
105,LINK/USDT,short,90,20,0.236,0.686,0.026,0.023,12,0.7093861728094616,14,0.4285714285714285,506.7044091496154
106,SOL/USDT,short,40,20,0.236,0.336,0.02,0.033,25,0.6853861679046527,12,0.5833333333333334,571.1551399205439
107,SOL/USDT,short,40,20,0.236,0.336,0.02,0.038,25,0.6708914214311318,12,0.5833333333333334,559.0761845259432
108,SOL/USDT,short,35,20,0.236,0.336,0.02,0.033,25,0.722020721012862,13,0.5384615384615384,555.4005546252785
109,SOL/USDT,short,35,20,0.236,0.336,0.02,0.038,25,0.7075259745393412,13,0.5384615384615384,544.250749645647
110,SOL/USDT,short,40,20,0.236,0.336,0.002,0.038,25,0.7568312258825634,14,0.5714285714285714,540.5937327732596
111,SOL/USDT,short,40,20,0.236,0.336,0.008,0.038,25,0.7458888969376956,14,0.5714285714285714,532.7777835269254
112,SOL/USDT,short,35,20,0.236,0.336,0.002,0.038,25,0.7934657789907728,15,0.5333333333333333,528.9771859938485
113,SOL/USDT,short,35,20,0.236,0.336,0.008,0.038,25,0.7825234500459051,15,0.5333333333333333,521.6823000306034
114,SOL/USDT,short,30,20,0.236,0.336,0.029,0.043,8,0.6199462264117294,12,0.5833333333333334,516.6218553431078
115,SOL/USDT,short,30,20,0.236,0.286,0.035,0.053,25,0.6183267710681349,12,0.5833333333333334,515.2723092234459
