rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
86,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",87,57,0.5977011494252874,2.2758215667024317,197.99647630311156,0.039599295260622315,5197.996476303127,5211.30400283413,119.32966292804576,2.3335103998311646,False,5.892360755353162,True,4
141,short_cand_141_XRP_USDT,XRP/USDT,short,30,20,0.236,0.436,0.041,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",102,67,0.5784313725490197,1.9088782958351547,194.70558617518577,0.038941117235037154,5194.7055861752015,5209.49790662388,134.92372371214879,2.6190004245119067,False,5.991952719923311,True,4
84,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",77,51,0.6103896103896104,2.513089043100246,193.50785631871895,0.03870157126374379,5193.507856318733,5207.755383844336,99.61245221240551,1.9504800274115723,False,6.029040313201019,True,4
87,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",81,54,0.6049382716049383,2.3684097487907687,191.84118965205226,0.03836823793041045,5191.8411896520665,5207.970669500796,120.15392095324842,2.352696051842738,False,6.081419056995439,True,4
64,short_cand_064_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.586,0.055,0.048,10,False,disabled,20,0.0,"1D, 4H->1D",83,52,0.5783132530120482,2.256868768860419,187.3201078154148,0.037464021563082955,5187.320107815428,5200.0287895092915,127.50371221611749,2.4570231088640764,False,6.228197710714005,True,4
62,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",63,39,0.6349206349206349,2.8810834203958224,181.50825548493683,0.03630165109698737,5181.508255484947,5195.469019066371,89.6565954031048,1.755302339358522,False,6.427623159892512,True,4
72,short_cand_072_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.038,10,False,disabled,20,0.0,"1D, 4H->1D",90,57,0.5666666666666667,1.942684320203002,174.84158881827017,0.034968317763654035,5174.8415888182835,5196.582890600038,127.50371221611749,2.459392759417238,False,6.672706845962701,True,4
92,short_cand_092_LINK_USDT,LINK/USDT,short,90,20,0.236,0.686,0.026,0.018,12,False,disabled,20,0.0,"1D, 4H->1D",72,46,0.5972222222222222,2.420576637320923,174.28151788710647,0.034856303577421296,5174.281517887119,5199.938750735244,133.27810255777604,2.606464776934634,False,6.694150250759197,True,4
33,short_cand_033_BNB_USDT,BNB/USDT,short,35,20,0.236,0.486,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",84,54,0.5952380952380952,2.072371388866606,174.07919666479492,0.03481583933295898,5174.079196664809,5185.496101963698,109.84172851500989,2.1534123843353687,False,6.701930437519126,True,4
71,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,False,disabled,20,0.0,"1D, 4H->1D",81,53,0.6049382716049383,2.137735849754499,173.15660383011442,0.034631320766022884,5173.156603830128,5185.90148900293,110.23022134507846,2.1640000790939338,False,6.737638882149101,True,4
79,short_cand_079_ETH_USDT,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",74,49,0.6081081081081081,2.3205805610905417,171.72296152070007,0.03434459230414001,5171.7229615207125,5182.7553838443355,99.32966292804576,1.9411419307471554,False,6.793888576898512,True,4
67,short_cand_067_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",68,43,0.6176470588235294,2.4976704237980907,169.84158881827017,0.033968317763654034,5169.841588818281,5183.802352399705,96.65079052021792,1.89347080448619,False,6.869145977637994,True,4
44,short_cand_044_BNB_USDT,BNB/USDT,short,35,20,0.236,0.536,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",85,55,0.5882352941176471,1.930343490174058,164.07919666479492,0.032815839332958986,5164.079196664809,5175.496101963698,109.84172851500989,2.1548205368632023,False,7.110387485929158,True,4
81,short_cand_081_ETH_USDT,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",64,41,0.59375,2.551847770902754,163.31825733777626,0.03266365146755525,5163.318257337786,5179.048092427388,90.84790099923066,1.780337996796813,False,7.143516503814737,True,4
85,short_cand_085_ETH_USDT,ETH/USDT,short,90,20,0.236,0.586,0.029,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",74,49,0.581081081081081,2.112053988159923,156.2919951238343,0.03125839902476686,5156.291995123846,5167.460049082959,119.77204869919387,2.334959739390808,False,7.464660398904538,True,4
140,short_cand_140_XRP_USDT,XRP/USDT,short,30,20,0.236,0.436,0.044,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",96,63,0.5520833333333334,1.6115165226581851,154.70558617518577,0.030941117235037154,5154.7055861752,5169.497906623878,95.9534099439752,1.8816193187837362,False,7.541205818809639,True,4
142,short_cand_142_XRP_USDT,XRP/USDT,short,30,20,0.236,0.436,0.047,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",96,63,0.5520833333333334,1.6115165226581851,154.70558617518577,0.030941117235037154,5154.7055861752,5169.497906623878,95.9534099439752,1.8816193187837362,False,7.541205818809639,True,4
