combined_rank,daily_analysis_rank,daily_rank,daily_param_id,source_symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_ema_period,confirm_min_distance,confirm_mode,assets_with_real_4h,assets_with_daily_fallback,total_trades,win_rate,expectancy,total_profit,total_return,param_id
39,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,15,0.004,close_above_ema,4,6,84,0.2857142857142857,233.54805292523136,19618.036445719434,1.9618036445719433,cand_030_ETH_USDT__4h_ema15_dist0.004
40,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,20,0.004,close_above_ema,4,6,84,0.2976190476190476,233.46315497470135,19610.905017874913,1.9610905017874913,cand_030_ETH_USDT__4h_ema20_dist0.004
41,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,15,0.004,close_above_ema,4,6,86,0.29069767441860467,228.12379023936555,19618.645960585436,1.9618645960585437,cand_028_ETH_USDT__4h_ema15_dist0.004
42,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,20,0.004,close_above_ema,4,6,86,0.3023255813953488,228.04086665977803,19611.51453274091,1.9611514532740912,cand_028_ETH_USDT__4h_ema20_dist0.004
43,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,25,0.004,close_above_ema,4,6,85,0.3058823529411765,226.00653155801155,19210.55518243098,1.921055518243098,cand_030_ETH_USDT__4h_ema25_dist0.004
44,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,30,0.0,close_above_ema,4,6,83,0.30120481927710846,223.89212631463025,18583.04648411431,1.8583046484114312,cand_023_ETH_USDT__4h_ema30_dist0.000
45,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,30,0.004,close_above_ema,4,6,84,0.30952380952380953,223.20726380757324,18749.410159836152,1.8749410159836153,cand_028_ETH_USDT__4h_ema30_dist0.004
46,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,25,0.0,close_above_ema,4,6,88,0.29545454545454547,221.99034010805232,19535.149929508603,1.9535149929508604,cand_023_ETH_USDT__4h_ema25_dist0.000
47,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,15,0.0,close_above_ema,4,6,88,0.2840909090909091,220.80076093969822,19430.466962693445,1.9430466962693445,cand_023_ETH_USDT__4h_ema15_dist0.000
48,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,20,0.0,close_above_ema,4,6,88,0.2840909090909091,219.0816462904526,19279.18487355983,1.927918487355983,cand_023_ETH_USDT__4h_ema20_dist0.000
49,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,25,0.004,close_above_ema,4,6,88,0.3068181818181818,213.33932702217228,18773.860777951162,1.8773860777951161,cand_028_ETH_USDT__4h_ema25_dist0.004
50,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,20,0.008,close_above_ema,4,6,78,0.28205128205128205,209.8889644364832,16371.33922604569,1.637133922604569,cand_023_ETH_USDT__4h_ema20_dist0.008
51,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,25,0.0,close_above_ema,4,6,90,0.28888888888888886,207.95757143120838,18716.181428808755,1.8716181428808756,cand_030_ETH_USDT__4h_ema25_dist0.000
52,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,30,0.0,close_above_ema,4,6,86,0.29069767441860467,205.3706971597609,17661.879955739438,1.7661879955739437,cand_030_ETH_USDT__4h_ema30_dist0.000
53,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,20,0.0,close_above_ema,4,6,90,0.2777777777777778,205.11351525399982,18460.216372859984,1.8460216372859986,cand_030_ETH_USDT__4h_ema20_dist0.000
54,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,15,0.0,close_above_ema,4,6,91,0.27472527472527475,204.41207101091865,18601.498461993597,1.8601498461993597,cand_030_ETH_USDT__4h_ema15_dist0.000
