backtrader_rank,symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
22,ETH/USDT,30,20,0.236,0.536,0.014,0.053,18,1.3640053765679885,17,0.4117647058823529,802.3561038635225
23,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,1.0400611847145178,13,0.4615384615384615,800.0470651650138
24,ETH/USDT,30,20,0.236,0.536,0.008,0.053,18,1.363005376567988,18,0.3888888888888889,757.2252092044379
25,ETH/USDT,30,20,0.236,0.636,0.032,0.053,21,1.2083254435955613,16,0.375,755.2034022472258
26,ETH/USDT,30,20,0.236,0.436,0.017,0.058,25,0.9796731421754276,13,0.3846153846153846,753.594724750329
27,ETH/USDT,30,20,0.236,0.536,0.029,0.053,21,1.1767065771487264,16,0.375,735.441610717954
28,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,1.009091703707014,14,0.4285714285714285,720.7797883621528
29,ETH/USDT,30,20,0.236,0.586,0.014,0.053,18,1.3641965437190318,19,0.4210526315789473,717.9981809047536
30,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,1.0013785879910782,14,0.4285714285714285,715.2704199936272
31,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,1.0709770153947034,15,0.4,713.9846769298022
32,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,1.0690104446309514,15,0.4,712.6736297539677
33,LINK/USDT,30,20,0.236,0.536,0.008,0.028,21,0.80651642631104,12,0.4166666666666667,672.0970219258667
34,LINK/USDT,30,20,0.236,0.486,0.008,0.033,21,0.7748277069209707,12,0.4166666666666667,645.6897557674756
35,LINK/USDT,30,20,0.236,0.536,0.005,0.028,21,0.7849936172044643,14,0.3571428571428571,560.7097265746173
36,LINK/USDT,30,20,0.236,0.536,0.008,0.033,21,0.7598443964217381,14,0.4285714285714285,542.7459974440986
37,LINK/USDT,30,20,0.236,0.536,0.008,0.038,21,0.6870160794826261,16,0.375,429.3850496766413
38,LINK/USDT,30,20,0.236,0.536,0.005,0.033,21,0.7146678683982514,17,0.3529411764705882,420.39286376367727
39,SOL/USDT,30,20,0.236,0.486,0.002,0.013,14,3.7418521720895352,12,0.4166666666666667,3118.2101434079464
40,SOL/USDT,30,20,0.236,0.486,0.041,0.013,8,3.739799128284066,13,0.3846153846153846,2876.7685602185124
41,SOL/USDT,30,20,0.236,0.486,0.002,0.023,14,4.553098810070159,17,0.4117647058823529,2678.2934176883286
42,SOL/USDT,30,20,0.236,0.486,0.038,0.013,8,3.6993565914567808,14,0.3571428571428571,2642.397565326272
43,SOL/USDT,35,20,0.236,0.486,0.041,0.013,8,3.69308297352609,14,0.3571428571428571,2637.9164096614927
44,SOL/USDT,35,20,0.236,0.486,0.002,0.013,14,3.661250052118972,14,0.3571428571428571,2615.178608656409
45,SOL/USDT,30,20,0.236,0.486,0.002,0.028,14,4.523641417028086,18,0.3888888888888889,2513.134120571159
46,SOL/USDT,90,20,0.236,0.486,0.026,0.028,8,4.233350287452194,17,0.3529411764705882,2490.2060514424675
47,SOL/USDT,85,20,0.236,0.486,0.026,0.028,8,4.2274716396138405,17,0.3529411764705882,2486.74802330226
48,SOL/USDT,30,20,0.236,0.486,0.005,0.023,14,4.199219851576895,17,0.3529411764705882,2470.129324456997
49,SOL/USDT,35,20,0.236,0.486,0.002,0.023,14,4.472496690099596,19,0.3684210526315789,2353.945626368208
50,SOL/USDT,30,20,0.236,0.486,0.002,0.033,14,4.443098691436829,20,0.35,2221.5493457184143
51,SOL/USDT,40,20,0.236,0.486,0.014,0.028,8,4.378842710291821,24,0.375,1824.5177959549253
52,SOL/USDT,40,20,0.236,0.486,0.008,0.028,8,4.363819121461839,24,0.375,1818.2579672757663
53,SOL/USDT,30,20,0.236,0.486,0.014,0.028,8,4.423558865049796,25,0.36,1769.4235460199186
54,XRP/USDT,30,20,0.236,0.686,0.038,0.048,25,0.5794446129466753,12,0.5,482.87051078889607
55,XRP/USDT,30,20,0.236,0.586,0.038,0.058,25,0.551403074644582,12,0.4166666666666667,459.5025622038184
56,XRP/USDT,30,20,0.236,0.686,0.041,0.058,25,0.5507928962797697,12,0.4166666666666667,458.9940802331414
57,XRP/USDT,35,20,0.236,0.686,0.029,0.048,25,0.5386515410042666,12,0.4166666666666667,448.87628417022216
58,XRP/USDT,35,20,0.236,0.686,0.032,0.058,25,0.5324925118157877,12,0.4166666666666667,443.7437598464898
