symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,short,40,20,0.236,0.336,0.053,0.058,8,1.0849676082539248,12,0.5,904.1396735449374
AVAX/USDT,short,85,20,0.236,0.486,0.044,0.053,8,1.083938442597006,12,0.5833333333333334,903.282035497505
AVAX/USDT,short,85,20,0.236,0.486,0.047,0.053,8,1.083938442597006,12,0.5833333333333334,903.282035497505
AVAX/USDT,short,85,20,0.236,0.486,0.05,0.053,8,1.083938442597006,12,0.5833333333333334,903.282035497505
AVAX/USDT,short,90,20,0.236,0.486,0.044,0.053,8,1.083938442597006,12,0.5833333333333334,903.282035497505
AVAX/USDT,short,90,20,0.236,0.486,0.047,0.053,8,1.083938442597006,12,0.5833333333333334,903.282035497505
AVAX/USDT,short,90,20,0.236,0.486,0.05,0.053,8,1.083938442597006,12,0.5833333333333334,903.282035497505
AVAX/USDT,short,30,20,0.236,0.336,0.05,0.058,8,1.0828167543493783,12,0.5,902.3472952911488
AVAX/USDT,short,30,20,0.236,0.336,0.053,0.058,8,1.0828167543493783,12,0.5,902.3472952911488
AVAX/USDT,short,35,20,0.236,0.336,0.05,0.058,8,1.0828167543493783,12,0.5,902.3472952911488
AVAX/USDT,short,35,20,0.236,0.336,0.053,0.058,8,1.0828167543493783,12,0.5,902.3472952911488
AVAX/USDT,short,40,20,0.236,0.286,0.032,0.068,8,1.0783457216024697,12,0.5,898.6214346687248
AVAX/USDT,short,40,20,0.236,0.286,0.035,0.068,8,1.0783457216024697,12,0.5,898.6214346687248
AVAX/USDT,short,40,20,0.236,0.286,0.038,0.068,8,1.0783457216024697,12,0.5,898.6214346687248
AVAX/USDT,short,40,20,0.236,0.286,0.041,0.068,8,1.0783457216024697,12,0.5,898.6214346687248
AVAX/USDT,short,40,20,0.236,0.286,0.044,0.068,8,1.0783457216024697,12,0.5,898.6214346687248
AVAX/USDT,short,40,20,0.236,0.286,0.047,0.068,8,1.0783457216024697,12,0.5,898.6214346687248
AVAX/USDT,short,30,20,0.236,0.286,0.032,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,30,20,0.236,0.286,0.035,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,30,20,0.236,0.286,0.038,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,30,20,0.236,0.286,0.041,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,30,20,0.236,0.286,0.044,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,30,20,0.236,0.286,0.047,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,35,20,0.236,0.286,0.032,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,35,20,0.236,0.286,0.035,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,35,20,0.236,0.286,0.038,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,35,20,0.236,0.286,0.041,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,35,20,0.236,0.286,0.044,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,35,20,0.236,0.286,0.047,0.068,8,1.0761948676979234,12,0.5,896.8290564149362
AVAX/USDT,short,85,20,0.236,0.536,0.044,0.048,8,1.070070628754501,12,0.5833333333333334,891.7255239620841
AVAX/USDT,short,85,20,0.236,0.536,0.047,0.048,8,1.070070628754501,12,0.5833333333333334,891.7255239620841
AVAX/USDT,short,90,20,0.236,0.536,0.044,0.048,8,1.070070628754501,12,0.5833333333333334,891.7255239620841
AVAX/USDT,short,90,20,0.236,0.536,0.047,0.048,8,1.070070628754501,12,0.5833333333333334,891.7255239620841
AVAX/USDT,short,40,20,0.236,0.286,0.026,0.068,8,1.1572316561719789,13,0.5384615384615384,890.1781970553683
AVAX/USDT,short,40,20,0.236,0.286,0.029,0.068,8,1.1572316561719789,13,0.5384615384615384,890.1781970553683
AVAX/USDT,short,30,20,0.236,0.286,0.026,0.068,8,1.1550808022674326,13,0.5384615384615384,888.5236940518712
AVAX/USDT,short,30,20,0.236,0.286,0.029,0.068,8,1.1550808022674326,13,0.5384615384615384,888.5236940518712
AVAX/USDT,short,35,20,0.236,0.286,0.026,0.068,8,1.1550808022674326,13,0.5384615384615384,888.5236940518712
AVAX/USDT,short,35,20,0.236,0.286,0.029,0.068,8,1.1550808022674326,13,0.5384615384615384,888.5236940518712
AVAX/USDT,short,85,20,0.236,0.486,0.053,0.053,8,1.0632473328954732,12,0.5833333333333334,886.0394440795611
AVAX/USDT,short,85,20,0.236,0.486,0.055,0.053,8,1.0632473328954732,12,0.5833333333333334,886.0394440795611
AVAX/USDT,short,90,20,0.236,0.486,0.053,0.053,8,1.0632473328954732,12,0.5833333333333334,886.0394440795611
AVAX/USDT,short,90,20,0.236,0.486,0.055,0.053,8,1.0632473328954732,12,0.5833333333333334,886.0394440795611
