symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,short,35,20,0.236,0.286,0.02,0.063,8,1.1908922361823464,13,0.5384615384615384,916.0709509094972
AVAX/USDT,short,35,20,0.236,0.286,0.023,0.063,8,1.1908922361823464,13,0.5384615384615384,916.0709509094972
AVAX/USDT,short,40,20,0.236,0.336,0.038,0.058,8,1.2790397922116303,14,0.5,913.599851579736
AVAX/USDT,short,30,20,0.236,0.336,0.038,0.058,8,1.276888938307084,14,0.5,912.0635273622028
AVAX/USDT,short,35,20,0.236,0.336,0.038,0.058,8,1.276888938307084,14,0.5,912.0635273622028
AVAX/USDT,short,40,20,0.236,0.336,0.041,0.068,8,1.2685951906911246,14,0.5,906.1394219222318
AVAX/USDT,short,40,20,0.236,0.336,0.044,0.068,8,1.2685951906911246,14,0.5,906.1394219222318
AVAX/USDT,short,40,20,0.236,0.336,0.047,0.068,8,1.2685951906911246,14,0.5,906.1394219222318
AVAX/USDT,short,40,20,0.236,0.336,0.05,0.068,8,1.2685951906911246,14,0.5,906.1394219222318
AVAX/USDT,short,40,20,0.236,0.336,0.053,0.068,8,1.2685951906911246,14,0.5,906.1394219222318
AVAX/USDT,short,30,20,0.236,0.286,0.002,0.058,12,1.2678416115868874,14,0.5714285714285714,905.6011511334908
AVAX/USDT,short,30,20,0.236,0.286,0.005,0.058,12,1.2678416115868874,14,0.5714285714285714,905.6011511334908
AVAX/USDT,short,35,20,0.236,0.286,0.002,0.058,12,1.2678416115868874,14,0.5714285714285714,905.6011511334908
AVAX/USDT,short,35,20,0.236,0.286,0.005,0.058,12,1.2678416115868874,14,0.5714285714285714,905.6011511334908
AVAX/USDT,short,40,20,0.236,0.286,0.002,0.058,12,1.2678416115868874,14,0.5714285714285714,905.6011511334908
AVAX/USDT,short,40,20,0.236,0.286,0.005,0.058,12,1.2678416115868874,14,0.5714285714285714,905.6011511334908
AVAX/USDT,short,30,20,0.236,0.336,0.041,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,30,20,0.236,0.336,0.044,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,30,20,0.236,0.336,0.047,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,30,20,0.236,0.336,0.05,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,30,20,0.236,0.336,0.053,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,35,20,0.236,0.336,0.041,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,35,20,0.236,0.336,0.044,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,35,20,0.236,0.336,0.047,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,35,20,0.236,0.336,0.05,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,35,20,0.236,0.336,0.053,0.068,8,1.2664443367865783,14,0.5,904.6030977046988
AVAX/USDT,short,40,20,0.236,0.336,0.05,0.058,8,1.0849676082539248,12,0.5,904.1396735449374
