analysis_rank,rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,backtrader_rank,symbol,side_candidate,sma_candidate,ema_candidate,fib_floor_candidate,fib_band_candidate,rw_candidate,eb_candidate,rw_lookback_candidate,total_return_candidate,total_trades_candidate,win_rate_candidate,expectancy_candidate,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,cluster_label,cluster_size,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
22,92,short_cand_092_LINK_USDT,LINK/USDT,short,90,20,0.236,0.686,0.026,0.018,12,False,disabled,20,0.0,"1D, 4H->1D",72,46,0.5972222222222222,2.420576637320923,174.28151788710647,0.0348563035774212,5174.281517887119,5199.938750735244,133.27810255777604,2.606464776934634,False,6.694150250759197,True,4,92,LINK/USDT,short,90,20,0.236,0.686,0.026,0.018,12,0.730301344736679,12,0.4166666666666667,608.5844539472324,0.6645828696418877,0.6313025210084032,0.18937732392261053,0.8549696290921669,59.9299025229717,0.39353522306536615,13.305849749240803,0.597222,2.420577,2.606465,6.69415,1,LINK/USDT | fib=0.686 | rw_lb=12,1,False,False,False,False,Limited drawdown headroom below the 3% trailing cap.
23,73,short_cand_073_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.048,10,False,disabled,20,0.0,"1D, 4H->1D",91,57,0.5824175824175825,2.314872979656573,210.65344114874813,0.0421306882297496,5210.653441148763,5225.429715817589,127.50371221611748,2.455445877070149,False,5.538322375863074,True,4,73,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.048,10,0.7142936302657243,16,0.4375,446.4335189160777,0.6244659531860071,0.5294117647058826,0.28538688863354134,0.9343048395927473,59.485437043683085,0.544554122929851,14.461677624136925,0.582418,2.314873,2.455446,5.538322,1,DOGE/USDT | fib=0.636 | rw_lb=10,5,False,False,False,False,Balanced survivor with no obvious structural warning.
24,35,short_cand_035_BNB_USDT,BNB/USDT,short,40,20,0.236,0.536,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",85,55,0.5764705882352941,1.793088588213273,152.4125299981282,0.0304825059996256,5152.412529998142,5163.829435297031,85.73087236804167,1.6696016337877706,False,7.654663738479998,True,4,35,BNB/USDT,short,40,20,0.236,0.536,0.032,0.023,8,0.2524826220377232,12,0.4166666666666667,210.4021850314361,0.42643703628720153,0.48848245180425076,0.7849837192013369,0.7890406604351123,58.6178451578873,1.3303983662122294,12.345336261520002,0.576471,1.793089,1.669602,7.654664,1,BNB/USDT | fib=0.536 | rw_lb=8,2,False,False,False,False,Balanced survivor with no obvious structural warning.
25,44,short_cand_044_BNB_USDT,BNB/USDT,short,35,20,0.236,0.536,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",85,55,0.5882352941176471,1.930343490174058,164.07919666479492,0.0328158393329589,5164.079196664809,5175.496101963698,109.84172851500988,2.1548205368632023,False,7.110387485929158,True,4,44,BNB/USDT,short,35,20,0.236,0.536,0.032,0.023,8,0.2735673333544196,15,0.4,182.37822223627973,0.4785283598685041,0.5694513099357391,0.4765080534694939,0.826399398707858,57.042924387338154,0.8451794631367977,12.889612514070842,0.588235,1.930343,2.154821,7.110387,1,BNB/USDT | fib=0.536 | rw_lb=8,2,False,False,False,False,Balanced survivor with no obvious structural warning.
26,64,short_cand_064_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.586,0.055,0.048,10,False,disabled,20,0.0,"1D, 4H->1D",83,52,0.5783132530120482,2.256868768860419,187.3201078154148,0.0374640215630829,5187.320107815428,5200.028789509292,127.50371221611748,2.4570231088640764,False,6.228197710714005,True,4,64,DOGE/USDT,short,80,20,0.236,0.586,0.055,0.048,10,0.6674988724904861,14,0.5,476.7849089217758,0.6024520500721947,0.5011643211501466,0.2843841708404764,0.8869522829549557,57.04165885718913,0.5429768911359236,13.771802289285995,0.578313,2.256869,2.457023,6.228198,1,DOGE/USDT | fib=0.586 | rw_lb=10,1,False,False,False,False,Balanced survivor with no obvious structural warning.
27,80,short_cand_080_ETH_USDT,ETH/USDT,short,65,20,0.236,0.436,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",76,51,0.5921052631578947,1.9963547568513167,151.72296152070007,0.03034459230414,5151.7229615207125,5162.755383844336,113.35585722585256,2.215247702152043,False,7.689453560445396,True,4,80,ETH/USDT,short,65,20,0.236,0.436,0.011,0.023,8,0.7003847408171413,12,0.5,583.6539506809511,0.5035811208509802,0.5960858027421492,0.43809176357926793,0.7866527115814385,57.02237380155216,0.7847522978479571,12.310546439554603,0.592105,1.996355,2.215248,7.689454,1,ETH/USDT | fib=0.436 | rw_lb=8,2,False,False,False,False,Balanced survivor with no obvious structural warning.
28,46,short_cand_046_BTC_USDT,BTC/USDT,short,40,20,0.236,0.636,0.047,0.028,8,False,disabled,20,0.0,"1D, 4H->1D",81,52,0.5555555555555556,1.7924709902031892,145.19015020645833,0.0290380300412916,5145.19015020647,5149.578731823106,80.73179295816135,1.5885226434065665,False,8.035439490955024,True,4,46,BTC/USDT,short,40,20,0.236,0.636,0.047,0.028,8,0.4227971824449527,12,0.5,352.33098537079394,0.426202643946186,0.34453781512605064,0.836529311049022,0.7629044812234472,55.519213761717154,1.4114773565934335,11.964560509044976,0.555556,1.792471,1.588523,8.035439,1,BTC/USDT | fib=0.636 | rw_lb=8,1,False,False,False,False,Balanced survivor with no obvious structural warning.
29,85,short_cand_085_ETH_USDT,ETH/USDT,short,90,20,0.236,0.586,0.029,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",74,49,0.581081081081081,2.112053988159923,156.2919951238343,0.0312583990247668,5156.291995123846,5167.460049082959,119.77204869919387,2.334959739390808,False,7.464660398904538,True,4,85,ETH/USDT,short,90,20,0.236,0.586,0.029,0.038,8,0.7327221682232699,13,0.6153846153846154,563.632437094823,0.547491582409042,0.5202134908017257,0.36198539148765463,0.8020823557155512,55.44889759842373,0.6650402606091919,12.535339601095462,0.581081,2.112054,2.33496,7.46466,1,ETH/USDT | fib=0.586 | rw_lb=8,3,False,False,False,False,Balanced survivor with no obvious structural warning.
30,38,short_cand_038_BNB_USDT,BNB/USDT,short,30,20,0.236,0.336,0.008,0.018,25,False,disabled,20,0.0,"1D, 4H->1D",76,48,0.5394736842105263,1.7617445714844646,133.8925874328193,0.0267785174865638,5133.892587432832,5169.784909674914,71.37367595008527,1.3998050410998593,False,8.71345224583133,True,4,38,BNB/USDT,short,30,20,0.236,0.336,0.008,0.018,25,0.2610194426211356,13,0.3846153846153846,200.78418663164285,0.4145412766863924,0.233856700574967,0.9565056508781169,0.7163661637122656,53.81279849020556,1.6001949589001407,11.28654775416867,0.539474,1.761745,1.399805,8.713452,1,BNB/USDT | fib=0.336 | rw_lb=25,7,False,False,False,False,Balanced survivor with no obvious structural warning.
31,58,short_cand_058_BTC_USDT,BTC/USDT,short,30,20,0.236,0.336,0.008,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",57,38,0.5789473684210527,1.6704585894203143,95.21613959695792,0.0190432279193915,5095.216139596967,5114.507785691115,73.32013094644844,1.4633206676798027,False,12.252824695530306,True,4,58,BTC/USDT,short,30,20,0.236,0.336,0.008,0.023,8,0.384474260482112,12,0.5,320.3952170684267,0.37989619252393947,0.505528527200354,0.9161258860556049,0.47342613394177824,53.725620318294396,1.5366793323201973,7.747175304469694,0.578947,1.670459,1.463321,12.252825,1,BTC/USDT | fib=0.336 | rw_lb=8,1,False,False,False,False,Balanced survivor with no obvious structural warning.
