combined_rank,param_id,daily_param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,total_trades,win_rate,expectancy,total_profit,total_return
213,short_cand_078_ETH_USDT__4h_ema25_dist0.000,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.0,115,0.2956521739130435,2.547167553682443,292.9242686734809,0.029292426867348093
214,short_cand_078_ETH_USDT__4h_ema15_dist0.000,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,100,0.29,1.9513713195519893,195.13713195519892,0.019513713195519894
215,short_cand_078_ETH_USDT__4h_ema30_dist0.004,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.004,110,0.2909090909090909,1.1597212383547093,127.56933621901803,0.012756933621901802
216,short_cand_078_ETH_USDT__4h_ema30_dist0.000,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.0,115,0.28695652173913044,-0.4430993520968931,-50.95642549114271,-0.005095642549114271
217,short_cand_078_ETH_USDT__4h_ema25_dist0.004,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.004,110,0.2909090909090909,-1.8641519436794074,-205.0567138047348,-0.020505671380473482
218,short_cand_078_ETH_USDT__4h_ema20_dist0.004,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.004,102,0.29411764705882354,-2.655445938641236,-270.8554857414061,-0.027085548574140608
219,short_cand_078_ETH_USDT__4h_ema15_dist0.004,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.004,84,0.2857142857142857,-4.494595268244891,-377.5460025325708,-0.03775460025325708
220,short_cand_070_DOGE_USDT__4h_ema20_dist0.008,short_cand_070_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,True,close_below_ema,20,0.008,74,0.25675675675675674,-6.422161038714196,-475.23991686485056,-0.04752399168648506
221,short_cand_086_ETH_USDT__4h_ema15_dist0.004,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,15,0.004,87,0.2988505747126437,-9.770665591138917,-850.0479064290857,-0.08500479064290857
222,short_cand_077_ETH_USDT__4h_ema20_dist0.000,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.0,104,0.28846153846153844,-10.055707834609954,-1045.7936147994353,-0.10457936147994353
